Author,Category,Contents,Copyright Status,Credits,Downloads,EBook-No.,Illustrator,Language,LoC Class,LoC No.,Original Publication,Release Date,Subject,Title,file_urls,files
"Young, Amelia",Text,,Public domain in the USA.,"Produced by MFR, Les Galloway and the Online Distributed Proofreading Team at http: //www.pgdp.net  (This file was produced from images generously made available by The Internet Archive)",56 downloads in the last 30 days.,53875,,English,RC: Medicine: Internal medicine,,,"Jan 3, 2017",Women physicians,"Madame Young's Guide to Health Her experience and practice for nearly forty years; a true family herbal, wherein is displayed the true properties and medical virtues of all the roots, herbs, &c., indigenous to the United States, and their combination in all the diseases the human body is heir to; also, an explanation of the human body, its liability to injuries through ignorance of its structure. Dedicated exclusively to her sex.",https://www.gutenberg.org/ebooks/53875.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/53875.txt.utf-8', 'path': '53875.txt', 'checksum': '9c47bed3e9889aabf5a811d1f73a6932', 'status': 'downloaded'}]"
"Romero, John Bruno",Text,,Public domain in the USA.,Produced by Stephen Hutcheson and the Online Distributed Proofreading Team at http: //www.pgdp.net,57 downloads in the last 30 days.,55009,,English,QK: Science: Botany,54008325,,"Jun 30, 2017",Ethnobotany -- California -- Pacific Coast,The Botanical Lore of the California Indians with Side Lights on Historical Incidents in California,https://www.gutenberg.org/ebooks/55009.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/55009.txt.utf-8', 'path': '55009.txt', 'checksum': 'cda91ce6c3116df4ce72f36c87830677', 'status': 'downloaded'}]"
"Humboldt, Alexander von, 1769-1859",Text,,Public domain in the USA.,,57 downloads in the last 30 days.,22761,,German,QK: Science: Botany,,,"Sep 24, 2007",Plant ecology,Ideen zu einer Physiognomik der Gewächse,https://www.gutenberg.org/ebooks/22761.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/22761.txt.utf-8', 'path': '22761.txt', 'checksum': '4cacf957414873be74847ab89baa44a3', 'status': 'downloaded'}]"
"McFarland, J. Horace (John Horace), 1859-1948",Text,,Public domain in the USA.,Produced by Marilynda Fraser-Cunliffe and the Online Distributed Proofreading Team at http: //www.pgdp.net,57 downloads in the last 30 days.,28764,,English,QK: Science: Botany,,,"May 12, 2009",Trees,Getting Acquainted with the Trees,https://www.gutenberg.org/ebooks/28764.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/28764.txt.utf-8', 'path': '28764.txt', 'checksum': '22e9e89b91ce307032fe4e9fe60df9af', 'status': 'downloaded'}]"
"Darwin, Charles, 1809-1882",Text,,Public domain in the USA.,Updated: 2021-10-11,60 downloads in the last 30 days.,5765,,English,QK: Science: Botany,,,"May 1, 2004",Plants -- Assimilation,Insectivorous Plants,https://www.gutenberg.org/ebooks/5765.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/5765.txt.utf-8', 'path': '5765.txt', 'checksum': '2647e0a9b698182384fb395dc93cb0b7', 'status': 'downloaded'}]"
"Blanchan, Neltje, 1865-1918",Text,,Public domain in the USA.,,60 downloads in the last 30 days.,3003,,English,QK: Science: Botany,,,"Jan 1, 2002",Wild flowers -- North America,Wild Flowers An Aid to Knowledge of Our Wild Flowers and Their Insect Visitors,https://www.gutenberg.org/ebooks/3003.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/3003.txt.utf-8', 'path': '3003.txt', 'checksum': 'd15b6cc0fc3408f1460bcdbba5b85337', 'status': 'downloaded'}]"
"Moore, Jane Newell, 1857-1945",Text,,Public domain in the USA.,,61 downloads in the last 30 days.,10726,,English,QK: Science: Botany,,,"Jan 1, 2004",Botany -- Juvenile literature,"Outlines of Lessons in Botany, Part I; from Seed to Leaf For the Use of Teachers, or Mothers Studying with Their Children",https://www.gutenberg.org/ebooks/10726.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/10726.txt.utf-8', 'path': '10726.txt', 'checksum': '982508192685a9a76b01f1864ecae332', 'status': 'downloaded'}]"
"Darwin, Charles, 1809-1882",Text,,Public domain in the USA.,Updated: 2021-10-24,62 downloads in the last 30 days.,3807,,English,QK: Science: Botany,,,"Mar 1, 2003",Pollination,The Different Forms of Flowers on Plants of the Same Species,https://www.gutenberg.org/ebooks/3807.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/3807.txt.utf-8', 'path': '3807.txt', 'checksum': 'caeba3eaccff45a06c1fa3b08e90eafa', 'status': 'downloaded'}]"
"Atkinson, George Francis, 1854-1918",Text,,Public domain in the USA.,Sonya Schermann and the Online Distributed Proofreading Team at https: //www.pgdp.net  (This file was produced from images generously made available by The Internet Archive),63 downloads in the last 30 days.,64601,,English,QK: Science: Botany,05036274,,"Feb 20, 2021",Botany -- Textbooks,Elementary Botany,https://www.gutenberg.org/ebooks/64601.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/64601.txt.utf-8', 'path': '64601.txt', 'checksum': 'ba85fcf7b1649d97f46484073b02f18c', 'status': 'downloaded'}]"
"Linné, Carl von, 1707-1778",Text,,Public domain in the USA.,Updated: 2022-04-15,63 downloads in the last 30 days.,20771,,Latin,QK: Science: Botany,,,"Mar 8, 2007",Plants -- Early works to 1800,"Species Plantarum, Sections I-III",https://www.gutenberg.org/ebooks/20771.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/20771.txt.utf-8', 'path': '20771.txt', 'checksum': 'cb842aeac6f12f0d65c753849dfbd779', 'status': 'downloaded'}]"
"Campbell, Douglas Houghton, 1859-1953",Text,,Public domain in the USA.,Updated: 2022-12-05,64 downloads in the last 30 days.,20390,,English,QK: Science: Botany,04030245,,"Jan 17, 2007",Botany -- Textbooks,Elements of Structural and Systematic Botany For High Schools and Elementary College Courses,https://www.gutenberg.org/ebooks/20390.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/20390.txt.utf-8', 'path': '20390.txt', 'checksum': 'debabb044707cdf0bcca2c244a036dda', 'status': 'downloaded'}]"
,Text,"Dogs and men, by H.C. Merwin -- Jungle night, by W. Beebe -- The devil baby at Hull-House, by Jane Addams -- Every man's natural desire to be somebody else, by S.M. Crothers -- The temple's difficult door, by R.M. Gay -- Exile and postman, by Jean K. Mackenzie -- The life of adventure, by E.J. Goodspeed -- An indictment of intercollegiate athletics, by W.T. Foster -- Car-window botany, by Lida F. Baldwin -- Studies in solitude, by Fannie S. Gifford -- The Greek genius, by J.J. Chapman -- In praise of old ladies, by Lucy M. Donnelly -- A memory of old gentlemen, by Sharlot M. Hall -- Viola's lovers, by R.B. Kimball -- Haunted lives, by Laura S. Porter -- The Acropolis and Golgotha, by Anne C.E. Allinson -- The baptizing of the baby, by Elizabeth Taylor -- Biographical notes.",Public domain in the USA.,Produced by Chuck Greif and the Online Distributed Proofreading Team at http: //www.pgdp.net  (This file was produced from images available at The Internet Archive),66 downloads in the last 30 days.,38245,,English,PS: Language and Literatures: American and Canadian literature,,,"Dec 7, 2011",American essays,"Atlantic Classics, Second Series",https://www.gutenberg.org/ebooks/38245.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/38245.txt.utf-8', 'path': '38245.txt', 'checksum': '0cacd496d264637cabee0de9301b646a', 'status': 'downloaded'}]"
"Gray, Asa, 1810-1888",Text,,Public domain in the USA.,"Produced by Curtis Weyant, Stephen H. Sentoff and the Online Distributed Proofreading Team at https: //www.pgdp.net",68 downloads in the last 30 days.,33757,,English,QK: Science: Botany,01000850,,"Sep 18, 2010",Plants,"The Elements of Botany, For Beginners and For Schools",https://www.gutenberg.org/ebooks/33757.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/33757.txt.utf-8', 'path': '33757.txt', 'checksum': '07baf865d6ad48fe4007ab89491f2119', 'status': 'downloaded'}]"
"Reinhardt, Ludwig, 1864-1921",Text,,Public domain in the USA.,"Peter Becker, Reiner Ruf, the University of Michigan and the Online Distributed Proofreading Team at https: //www.pgdp.net  (This file was produced from images generously made available by The Internet Archive)",66 downloads in the last 30 days.,61775,,German,SB: Agriculture: Plant culture,,,"Apr 7, 2020","Botany, Economic","Kulturgeschichte der Nutzpflanzen, Band IV, 1. Hälfte",https://www.gutenberg.org/ebooks/61775.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/61775.txt.utf-8', 'path': '61775.txt', 'checksum': '96c13e241bf05f55e863b89dfb88db12', 'status': 'downloaded'}]"
"Warming, Eugenius, 1841-1924",Text,,Public domain in the USA.,"Peter Becker, Karin Spence and the Online Distributed Proofreading Team at https: //www.pgdp.net  (This file was produced from images generously made available by The Internet Archive)",69 downloads in the last 30 days.,68580,,English,QK: Science: Botany,,"United Kingdom: Swan Sonnenschein,1895.","Jul 21, 2022",Plants -- Classification,A handbook of systematic botany,https://www.gutenberg.org/ebooks/68580.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/68580.txt.utf-8', 'path': '68580.txt', 'checksum': '34bcefd570b2944d7cb9eaee3ea1a09f', 'status': 'downloaded'}]"
"Dame, Lorin Low, 1838-1903",Text,,Public domain in the USA.,"Produced by Juliet Sutherland, Janet Blenkinship, Joyce Wilson and the Online Distributed Proofreading Team at http: //www.pgdp.net",72 downloads in the last 30 days.,20467,,English,QK: Science: Botany,,,"Jan 28, 2007",Trees -- North America,Handbook of the Trees of New England,https://www.gutenberg.org/ebooks/20467.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/20467.txt.utf-8', 'path': '20467.txt', 'checksum': '4a1d0a2df43cec68239d11dd5c1ad752', 'status': 'downloaded'}]"
"Bresadola, Giacomo, 1847-1929",Text,,Public domain in the USA.,"Produced by Carlo Traverso, Barbara Magni and the Online Distributed Proofreading Team at http: //www.pgdp.net  (This file was produced from images generously made available by The Internet Archive)",76 downloads in the last 30 days.,42198,,Italian,QK: Science: Botany,,,"Feb 25, 2013",Fungi -- Pictorial works,I funghi mangerecci e velenosi dell'Europa media con speciale riguardo a quelli che crescono nel Trentino - II edizione riveduta ed aumentata,https://www.gutenberg.org/ebooks/42198.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/42198.txt.utf-8', 'path': '42198.txt', 'checksum': '68edd0d355aa90329fde9f329f356304', 'status': 'downloaded'}]"
