Author,Category,Contents,Copyright Status,Credits,Downloads,EBook-No.,Illustrator,Language,LoC Class,LoC No.,Original Publication,Release Date,Subject,Title,file_urls,files
"Curtis, William, 1746-1799",Text,[1]—Iris Persica.   [2]—Rudbeckia purpurea.   [3]—Helleborus hyemalis.   [4]—Cyclamen Coum.   [5]—Erythronium Dens Canis.   [6]—Narcissus Minor.   [7]—Cynoglossum Omphalodes.   [8]—Helleborus Niger.   [9]—Iris pumila. [10]—Anemone Hepatica. [11]—Erica herbacea. [12]—Dodecatheon Meadia. [13]—Coronilla glauca. [14]—Primula villosa. [15]—Narcissus Jonquilla. [16]—Iris variegata. [17]—Cactus flagelliformis. [18]—Geranium Reichardi. [19]—Hemerocallis Flava. [20]—Geranium Peltatum. [21]—Iris Versicolor. [22]—Nigella damascena. [23]—Tropæolum majus. [24]—Agrostemma coronaria. [25]—Dianthus chinensis. [26]—Stapelia variegata. [27]—Convolvulus tricolor. [28]—Passiflora cœrulea. [29]—Reseda odorata. [30]—Lilium chalcedonicum. [31]—Jasminum officinale. [32]—Mesembryanthemum dolabriforme. [33]—Aster tenellus. [34]—Browallia elata. [35]—Crepis barbata. [36]—Lilium bulbiferum.,Public domain in the USA.,"Produced by Jason Isbell, Janet Blenkinship and the Online Distributed Proofreading Team at https: //www.pgdp.net  (This file made using scans of public domain works at the University of Georgia.)",121 downloads in the last 30 days.,17198,,English,QK: Science: Botany,,"LONDON: Printed by Couchman and Fry, Throgmorton-Street, For W. CURTIS, at his Botanic-Garden, Lambeth-Marsh; And Sold by the principal Booksellers in Great-Britain and Ireland. M DCC XC.","Dec 2, 2005",Botanical illustration -- Periodicals,"The Botanical Magazine, Vol. 01 Or, Flower-Garden Displayed",https://www.gutenberg.org/ebooks/17198.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/17198.txt.utf-8', 'path': '17198.txt', 'checksum': '18efe0d129040b34f315b0ef0c7ec461', 'status': 'downloaded'}]"
"Grandville, J. J., 1803-1847",Text,,Public domain in the USA.,Produced by Claudine Corbasson and the Online Distributed Proofreading Team at http: //www.pgdp.net  (This file was produced from images generously made available by The Internet Archive/Canadian Libraries),129 downloads in the last 30 days.,54972,Maubert,French,"NC: Fine Arts: Drawing, Design, Illustration",,,"Jun 24, 2017",Flowers in art,Les fleurs animées - Tome 1,https://www.gutenberg.org/ebooks/54972.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/54972.txt.utf-8', 'path': '54972.txt', 'checksum': 'c4f89d754b74034bad26731808dc1393', 'status': 'downloaded'}]"
"Darwin, Erasmus, 1731-1802",Text,,Public domain in the USA.,,98 downloads in the last 30 days.,9612,,English,PR: Language and Literatures: English literature,,,"Jan 1, 2006",Portland Vase,"The Botanic Garden, a Poem in Two Parts. Part 1: the Economy of Vegetation",https://www.gutenberg.org/ebooks/9612.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/9612.txt.utf-8', 'path': '9612.txt', 'checksum': 'fdcab6bff2852bcdc778ec9ff9a606d3', 'status': 'downloaded'}]"
"Cooke, Arthur O. (Arthur Owens), 1867-1930",Text,,Public domain in the USA.,"Produced by Bryan Ness, David Garcia and the Online Distributed Proofreading Team.",129 downloads in the last 30 days.,13347,,English,QK: Science: Botany,,,"Sep 1, 2004",Wild flowers -- Great Britain,Wildflowers of the Farm,https://www.gutenberg.org/ebooks/13347.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/13347.txt.utf-8', 'path': '13347.txt', 'checksum': '89cf0d80bc3724c1918f8aa1359650a3', 'status': 'downloaded'}]"
"Phillip, Arthur, 1738-1814",Text,,Public domain in the USA.,Produced by Col Choat,84 downloads in the last 30 days.,15100,,English,DU: History: General and Eastern Hemisphere: History of Oceania (South Seas),,,"Feb 18, 2005",Norfolk Island,The Voyage of Governor Phillip to Botany Bay With an Account of the Establishment of the Colonies of Port Jackson and Norfolk Island (1789),https://www.gutenberg.org/ebooks/15100.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/15100.txt.utf-8', 'path': '15100.txt', 'checksum': '71c3f9f5d189e00a57dec62ced9f6327', 'status': 'downloaded'}]"
"Taylor, Norman, 1883-1967",Text,,Public domain in the USA.,"Produced by Juliet Sutherland, Chuck Greif and the Online Distributed Proofreading Team at http: //www.pgdp.net",93 downloads in the last 30 days.,49211,,English,QK: Science: Botany,,,"Jun 14, 2015",Botany -- Textbooks,Botany: The Science of Plant Life,https://www.gutenberg.org/ebooks/49211.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/49211.txt.utf-8', 'path': '49211.txt', 'checksum': '11824404e4adb660a83cccd8486a5c00', 'status': 'downloaded'}]"
"Cathrall, William",Text,,Public domain in the USA.,,98 downloads in the last 30 days.,63840,"Cruikshank, Robert, 1789-1856",English,"DA: History: General and Eastern Hemisphere: Great Britain, Ireland, Central Europe",02022905,,"Nov 22, 2020",Natural history -- England -- Shropshire,"The History of Oswestry Comprising the British, Saxon, Norman, and English eras; the topography of the borough; and its ecclesiastical and civic history; with notices of botany, geology, statistics, angling, and biography: to which are added sketches of the environs",https://www.gutenberg.org/ebooks/63840.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/63840.txt.utf-8', 'path': '63840.txt', 'checksum': '76aafdcb14d68954236df3edba40a384', 'status': 'downloaded'}]"
"Arber, Agnes Robertson, 1879-1960",Text,,Public domain in the USA.,"Produced by Chris Curnow, Turgut Dincer and the Online Distributed Proofreading Team at http: //www.pgdp.net  (This file was produced from images generously made available by The Internet Archive)",151 downloads in the last 30 days.,46889,,English,QK: Science: Botany,agr13000223,,"Sep 18, 2014",Botany -- Europe -- History,"Herbals, Their Origin and Evolution: A Chapter in the History of Botany 1470-1670",https://www.gutenberg.org/ebooks/46889.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/46889.txt.utf-8', 'path': '46889.txt', 'checksum': '104675f5cf47c6a2abb60ae1eac57d86', 'status': 'downloaded'}]"
"Darwin, Francis, Sir, 1848-1925",Text,,Public domain in the USA.,Updated: 2022-08-28,100 downloads in the last 30 days.,5605,,English,QK: Science: Botany,,,"May 1, 2004",Geotropism,The Power of Movement in Plants,https://www.gutenberg.org/ebooks/5605.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/5605.txt.utf-8', 'path': '5605.txt', 'checksum': '98ce86a01b4d1bb2f45f242cdadd45ad', 'status': 'downloaded'}]"
"Ellacombe, Henry Nicholson, 1821-1916",Text,,Public domain in the USA.,"Produced by Irma Spehar, Michael Zeug, Lisa Reigel, and the Online Distributed Proofreading Team at https: //www.pgdp.net  (This file was produced from images generously made available by The Internet Archive/Canadian Libraries)",159 downloads in the last 30 days.,28407,,English,PR: Language and Literatures: English literature,,,"Mar 25, 2009",Plants in literature,The plant-lore & garden-craft of Shakespeare,https://www.gutenberg.org/ebooks/28407.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/28407.txt.utf-8', 'path': '28407.txt', 'checksum': '1da60b3d087ebb15946df36cf329f775', 'status': 'downloaded'}]"
"Tilton, George Henry, 1845-",Text,,Public domain in the USA.,"Produced by Charles Aldarondo, Keren Vergon, Leonard D Johnson and PG Distributed Proofreaders",156 downloads in the last 30 days.,11365,,English,QK: Science: Botany,,,"Feb 1, 2004",Ferns -- Canada,The Fern Lover's Companion A Guide for the Northeastern States and Canada,https://www.gutenberg.org/ebooks/11365.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/11365.txt.utf-8', 'path': '11365.txt', 'checksum': '63ac00e7bdbb6855d69a0a173f9d36b3', 'status': 'downloaded'}]"
"Darwin, Charles, 1809-1882",Text,,Public domain in the USA.,,94 downloads in the last 30 days.,3332,,English,QH: Science: Natural history,,,"Jul 1, 2002","Plants, Cultivated",The Variation of Animals and Plants under Domestication,https://www.gutenberg.org/ebooks/3332.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/3332.txt.utf-8', 'path': '3332.txt', 'checksum': '736c6a1d58e60f37a57d632d0da59e92', 'status': 'downloaded'}]"
"Blanchan, Neltje, 1865-1918",Text,,Public domain in the USA.,Produced by Project Gutenberg Distributed Proofreaders,180 downloads in the last 30 days.,8866,,English,QK: Science: Botany,,,"Sep 1, 2005",Wild flowers -- North America,Wild Flowers Worth Knowing,https://www.gutenberg.org/ebooks/8866.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/8866.txt.utf-8', 'path': '8866.txt', 'checksum': 'b621b36ffbe90bfe170d4918069c545d', 'status': 'downloaded'}]"
"Strasburger, Eduard, 1844-1912",Text,,Public domain in the USA.,"Peter Becker, Reiner Ruf, and the Online Distributed Proofreading Team at https: //www.pgdp.net  (This file was produced from images generously made available by The Internet Archive)",87 downloads in the last 30 days.,63371,,German,QK: Science: Botany,,,"Oct 4, 2020",Botany -- Textbooks,Lehrbuch der Botanik für Hochschulen,https://www.gutenberg.org/ebooks/63371.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/63371.txt.utf-8', 'path': '63371.txt', 'checksum': 'c3e7c9ebb44b79fa563aa01b565c3733', 'status': 'downloaded'}]"
"Fernie, William Thomas, 1830-",Text,,Public domain in the USA.,,169 downloads in the last 30 days.,19352,,English,QK: Science: Botany,,,"Sep 22, 2006","Botany, Medical",Herbal Simples Approved for Modern Uses of Cure,https://www.gutenberg.org/ebooks/19352.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/19352.txt.utf-8', 'path': '19352.txt', 'checksum': '05cae9eff4fbc2a15abf0ff82706d808', 'status': 'downloaded'}]"
"Tadulinga Mudaliyar, C.",Text,,Public domain in the USA.,"Produced by Suzanne Lybarger, John Hagerson, Juliet Sutherland, Leonard Johnson and the Online Distributed Proofreading Team at http: //www.pgdp.net  (This file was produced from images generously made available by The Internet Archive/Million Book Project)",195 downloads in the last 30 days.,24063,,English,QK: Science: Botany,,,"Dec 28, 2007","Plants -- India, South",A Handbook of Some South Indian Grasses,https://www.gutenberg.org/ebooks/24063.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/24063.txt.utf-8', 'path': '24063.txt', 'checksum': 'e72b8b518ea74f4c7596b00d1a53e1db', 'status': 'downloaded'}]"
"Darwin, Erasmus, 1731-1802",Text,,Public domain in the USA.,,195 downloads in the last 30 days.,10671,,English,PR: Language and Literatures: English literature,,,"Jan 1, 2004",Plants -- Poetry,"The Botanic Garden. Part 2, Containing the Loves of the Plants. A Poem. With Philosophical Notes.",https://www.gutenberg.org/ebooks/10671.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/10671.txt.utf-8', 'path': '10671.txt', 'checksum': '75f8585286556556cd83204124346d81', 'status': 'downloaded'}]"
"Maeterlinck, Maurice, 1862-1949",Text,L'intelligence des fleurs -- Les parfums -- La mesure des heures -- L'inquiétude de notre morale -- Éloge de la boxe -- A propos du Roi Lear -- Les dieux de la guerre -- Le pardon des injures -- L'accident -- Notre devoir social -- L'immortalité.,Public domain in the USA.,"Laurent Vogel, Chuck Greif and the Online Distributed Proofreading Team at https: //www.pgdp.net  (This file was produced from images generously made available by The Internet Archive/Canadian Libraries)",51 downloads in the last 30 days.,62114,,French,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese",,,"May 14, 2020",Flowers,L'intelligence des fleurs,https://www.gutenberg.org/ebooks/62114.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/62114.txt.utf-8', 'path': '62114.txt', 'checksum': '14a2cfd1efbf4808ab707cb1692b38a6', 'status': 'downloaded'}]"
"Andrews, Henry Cranke, active 1799-1828",Text,,Public domain in the USA.,Chuck Greif and the Online Distributed Proofreading Team at http: //www.pgdp.net  (This file was produced from images available at The Biodiversity Heritage Library),51 downloads in the last 30 days.,69992,,English,SB: Agriculture: Plant culture,,"United Kingdom: The author, 1797.","Feb 8, 2023",Rare plants -- Pictorial works,The botanist's repository for new and rare plants; vols 1 & 2 [of 10],https://www.gutenberg.org/ebooks/69992.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/69992.txt.utf-8', 'path': '69992.txt', 'checksum': '2d45ee09ccaa89585348a46ecaa01968', 'status': 'downloaded'}]"
"Reinhardt, Ludwig, 1864-1921",Text,,Public domain in the USA.,"Peter Becker, Reiner Ruf, the University of Michigan and the Online Distributed Proofreading Team at https: //www.pgdp.net  (This file was produced from images generously made available by The Internet Archive)",53 downloads in the last 30 days.,61776,,German,SB: Agriculture: Plant culture,,,"Apr 7, 2020","Botany, Economic","Kulturgeschichte der Nutzpflanzen, Band IV, 2. Hälfte",https://www.gutenberg.org/ebooks/61776.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/61776.txt.utf-8', 'path': '61776.txt', 'checksum': 'cea175e190b43ba6447fff3dbaee4096', 'status': 'downloaded'}]"
"Beal, W. J. (William James), 1833-1924",Text,,Public domain in the USA.,"Produced by Betsie Bush, Dave Morgan, Leonard Johnson and the Online Distributed Proofreading Team at https: //www.pgdp.net",25 downloads in the last 30 days.,33679,,English,SB: Agriculture: Plant culture,,,"Sep 9, 2010",Weeds -- Michigan -- Identification,Seeds of Michigan Weeds,https://www.gutenberg.org/ebooks/33679.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/33679.txt.utf-8', 'path': '33679.txt', 'checksum': 'e9ffb4bc0ba15785c9d9ab064698bd93', 'status': 'downloaded'}]"
,Text,"The origin of species in summary / C. Darwin -- How ""The origin of species"" came to be written / C. Darwin -- The descent of man : the argument in brief / C. Darwin -- Mimicry and other protective resemblances among animals / A. R. Wallace -- Evolution of the horse / T. H. Huxley -- Fighting pests with insects allies / L. O. Howard -- The strange story of the flowers : a chapter in modern botany / G. Iles.",Public domain in the USA.,"Produced by Sigal Alon, Marcia Brooks, Fox in the Stars and the Online Distributed Proofreading Team at https: //www.pgdp.net",27 downloads in the last 30 days.,29739,,English,QH: Science: Natural history,02022703,,"Aug 20, 2009",Evolution (Biology),Little Masterpieces of Science: The Naturalist as Interpreter and Seer,https://www.gutenberg.org/ebooks/29739.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/29739.txt.utf-8', 'path': '29739.txt', 'checksum': '74c66fb118254057757fed3c23257cd9', 'status': 'downloaded'}]"
"Coulter, John Merle, 1851-1928",Text,,Public domain in the USA.,,26 downloads in the last 30 days.,1221,,English,QK: Science: Botany,,,"Feb 1, 1998",Plants -- North America,"A Preliminary Revision of the North American Species of Cactus, Anhalonium, and Lophophora",https://www.gutenberg.org/ebooks/1221.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/1221.txt.utf-8', 'path': '1221.txt', 'checksum': 'ec0f255b61e54f3a0f059df700f82985', 'status': 'downloaded'}]"
"Curtis, William, 1746-1799",Text,[37]—Chironia Frutescens. [38]—Viburnum Tinus. [39]—Franklin's Tartar. [40]—Trillium sessile. [41]—Calceolaria pinnata. [42]—Camellia Japonica. [43]—Cistus incanus. [44]—Cyclamen persicum. [45]—Crocus vernus. [46]—Leucojum vernum. [47]—Amaryllis formosissima. [48]—Narcissus triandrus. [49]—Soldanella alpina. [50]—Iris sibirica. [51]—Narcissus major. [52]—Gentiana Acaulis. [53]—Cineraria Lanata. [54]—Anemone Sylvestris. [55]—Geranium striatum. [56]—Geranium Lanceolatum. [57]—Papaver Orientale. [58]—Iris Spuria. [59]—Mesembryanthemum Bicolorum. [60]—Lathyrus odoratus. [61]—Iris ochroleuca. [62]—Centaurea Glastifolia. [63]—Fragaria monophylla. [64]—Hemerocallis fulva. [65]—Clematis integrifolia. [66]—Passiflora alata. [67]—Mesembryanthemum pinnatifidum. [68]—Sempervivum arachnoideum. [69]—Rosa muscosa. [70]—Mesembryanthemum Barbatum. [71]—Statice sinuata. [72]—Helleborus lividus.,Public domain in the USA.,"Produced by Jason Isbell, Janet Blenkinship and the Online Distributed Proofreading Team at http: //www.pgdp.net  (This file made using scans of public domain works at the University of Georgia.)",30 downloads in the last 30 days.,17531,,English,QK: Science: Botany,,"LONDON: Printed by Couchman and Fry, Throgmorton-Street, For W. CURTIS, at his Botanic-Garden, Lambeth-Marsh; And Sold by the principal Booksellers in Great-Britain and Ireland. M DCC XC.","Jan 16, 2006",Botanical illustration -- Periodicals,"The Botanical Magazine, Vol. 02 Or, Flower-Garden Displayed",https://www.gutenberg.org/ebooks/17531.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/17531.txt.utf-8', 'path': '17531.txt', 'checksum': '4a0cf2726ecb5cdb1d8f12de2fcb1abb', 'status': 'downloaded'}]"
"Pansy, 1841-1930",Text,"Railroad building -- A very sly fellow -- Mabel's ""inasmuch"" -- Fretting Lettie -- How Rosie helped -- Mrs. Browne's botany class.",Public domain in the USA.,,29 downloads in the last 30 days.,71478,,English,PZ: Language and Literatures: Juvenile belles lettres,,"Boston: D. Lothrop Company, 1885.","Aug 24, 2023","Children's stories, American","Railroad building, and other stories",https://www.gutenberg.org/ebooks/71478.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/71478.txt.utf-8', 'path': '71478.txt', 'checksum': '1c4a2af8af6d20587010f8fa7a74e865', 'status': 'downloaded'}]"
"Loudon, Mrs. (Jane), 1807-1858",Text,,Public domain in the USA.,"Produced by Chris Curnow, Turgut Dincer and the Online Distributed Proofreading Team at http: //www.pgdp.net  (This file was produced from images generously made available by The Internet Archive)",35 downloads in the last 30 days.,47039,,English,QK: Science: Botany,05025369,,"Oct 4, 2014",Plants -- Classification,"Botany for Ladies or, A Popular Introduction to the Natural System of Plants, According to the Classification of De Candolle.",https://www.gutenberg.org/ebooks/47039.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/47039.txt.utf-8', 'path': '47039.txt', 'checksum': 'ed440e4352e75956c4a280ce4c96165d', 'status': 'downloaded'}]"
"Silva, Ercole, 1756-1840",Text,,Public domain in the USA.,Produced by Barbara Magni and the Online Distributed Proofreading Team at http: //www.pgdp.net  (This file was produced from images made available by The Internet Archive),28 downloads in the last 30 days.,56482,"Levati, Giuseppe, 1739-1828",Italian,SB: Agriculture: Plant culture,,,"Feb 1, 2018","Gardens, English",Dell'arte dei giardini inglesi,https://www.gutenberg.org/ebooks/56482.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/56482.txt.utf-8', 'path': '56482.txt', 'checksum': 'bec2897bea4201b4b02a719ce5837a2b', 'status': 'downloaded'}]"
"Darwin, Charles, 1809-1882",Text,,Public domain in the USA.,,30 downloads in the last 30 days.,2872,,English,QH: Science: Natural history,,,"Oct 1, 2001","Plants, Cultivated",The Variation of Animals and Plants under Domestication — Volume 2,https://www.gutenberg.org/ebooks/2872.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/2872.txt.utf-8', 'path': '2872.txt', 'checksum': 'a3a13011b7bc5187a77fd323215d92dd', 'status': 'downloaded'}]"
,Text,"Introduction -- Robert Morison and John Ray, by S.H. Vines -- Nehemiah Grew, by A. Arber -- Stephen Hales, by F. Darwin -- John Hill, by T.G. Hill -- Robert Brown, by J.B. Farmer -- Sir William Hooker, by F.O. Bower -- John Stevens Henslow, by G. Henslow -- John Lindley, by F. Keeble -- William Griffith, by W.H. Lang -- Arthur Henfrey, by F.W. Oliver -- William Henry Harvey, by R.L. Praeger -- Miles Joseph Berkeley, by G. Massee -- Sir Joseph Henry Gilbert, by W.B. Bottomley -- William Crawford Williamson, by D.H. Scott -- Harry Marshall Ward, by Sir W. Thiselton-Dyer -- A sketch of the professors of botany in Edinburgh from 1670 until 1887, by I.B. Balfour -- Sir Joseph Dalton Hooker, by F.O. Bower.",Public domain in the USA.,"Produced by Charlene Taylor, Bryan Ness, John Campbell and the Online Distributed Proofreading Team at http: //www.pgdp.net  (This file was produced from images generously made available by The Internet Archive/American Libraries.)",32 downloads in the last 30 days.,46415,,English,QK: Science: Botany,13015586,,"Jul 26, 2014",Botanists -- Great Britain -- Biography,Makers of British Botany; a collection of biographies by living botanists,https://www.gutenberg.org/ebooks/46415.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/46415.txt.utf-8', 'path': '46415.txt', 'checksum': '3aba4b14b65d8f3aefc6fab1439d65b3', 'status': 'downloaded'}]"
"Sachs, Julius, 1832-1897",Text,,Public domain in the USA.,"Turgut Dincer, Les Galloway and the Online Distributed Proofreading Team at http: //www.pgdp.net  (This file was produced from images generously made available by The Internet Archive)",32 downloads in the last 30 days.,61240,,English,QK: Science: Botany,04009011,,"Jan 25, 2020",Botany -- History,History of Botany (1530-1860),https://www.gutenberg.org/ebooks/61240.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/61240.txt.utf-8', 'path': '61240.txt', 'checksum': '7ce14acd988a166c682a1d48c140f67d', 'status': 'downloaded'}]"
"Stockberger, W. W. (Warner Webster), 1872-1944",Text,,Public domain in the USA.,Tom Cosmas,38 downloads in the last 30 days.,62715,,English,S: Agriculture,,,"Jul 20, 2020",Medicinal plants -- Culture -- United States,Drug Plants Under Cultivation,https://www.gutenberg.org/ebooks/62715.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/62715.txt.utf-8', 'path': '62715.txt', 'checksum': '55ee9bff76fed76c09fb3bd2b790bb93', 'status': 'downloaded'}]"
"Salisbury, William, -1823",Text,,Public domain in the USA.,,35 downloads in the last 30 days.,12363,,English,QK: Science: Botany,,,"May 1, 2004",Plants -- Great Britain,"The Botanist's Companion, Volume II Or an Introduction to the Knowledge of Practical Botany, and the Uses of Plants. Either Growing Wild in Great Britain, or Cultivated for the Puroses of Agriculture, Medicine, Rural Oeconomy, or the Arts",https://www.gutenberg.org/ebooks/12363.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/12363.txt.utf-8', 'path': '12363.txt', 'checksum': 'fae24c6b1b8a6493960439e639ad34fe', 'status': 'downloaded'}]"
Various,Text,"La leggenda del vino / Arturo Graf -- La chimica del vino / Alfonso Cossa -- Il vino nei costumi dei popoli / Corrado Corradino -- I nemici del vino / Michele Lessona -- Il commercio del vino / S. Cognetti de Martiis -- La botanica del vino / Giovanni Arcangeli -- Gli effetti fisiologici del vino / Angelo Mosso -- I poeti del vino / Giuseppe Giacosa -- Il vino e la salute / Giulio Bizzozero -- Il vino nel delitto, nel suicidio e nella pazzia / Cesare Lombroso -- Gli effetti psicologici del vino / Edmondo de Amicis. --",Public domain in the USA.,"Produced by Enrico Segre and the distributed proofreaders team at DP-Italia, http: //dp-test.dm.unipi.it  Scans provided by OPAL libri antichi, UniversitÃ  degli Studi di Torino, http: //www.opal.unito.it",38 downloads in the last 30 days.,48913,,Italian,TP: Technology: Chemical technology,,,"May 9, 2015",Wine -- Physiological effect,Il Vino: Undici conferenze fatte nell'inverno dell'anno 1880,https://www.gutenberg.org/ebooks/48913.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/48913.txt.utf-8', 'path': '48913.txt', 'checksum': '4786bb8d1f19fce6c030714506d30bbd', 'status': 'downloaded'}]"
"Gray, Asa, 1810-1888",Text,,Public domain in the USA.,Produced by John Williams and the Online Distributed Proofreading Team at http: //www.pgdp.net,33 downloads in the last 30 days.,39423,,English,QK: Science: Botany,,,"Apr 11, 2012",Plants -- United States,The Manual of the Botany of the Northern United States Including the District East of the Mississippi and North of North Carolina and Tennessee,https://www.gutenberg.org/ebooks/39423.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/39423.txt.utf-8', 'path': '39423.txt', 'checksum': '8604b79e0c7aab4fb12a11663872c255', 'status': 'downloaded'}]"
"Darwin, Charles, 1809-1882",Text,,Public domain in the USA.,,37 downloads in the last 30 days.,2871,,English,QH: Science: Natural history,,,"Oct 1, 2001","Plants, Cultivated",The Variation of Animals and Plants under Domestication — Volume 1,https://www.gutenberg.org/ebooks/2871.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/2871.txt.utf-8', 'path': '2871.txt', 'checksum': '44501ae093d5bc2bc9e826031230249c', 'status': 'downloaded'}]"
"Reid, Mayne, 1818-1883",Text,,Public domain in the USA.,"Produced by Nick Hodson of London, England",41 downloads in the last 30 days.,21239,,English,PZ: Language and Literatures: Juvenile belles lettres,,,"Apr 27, 2007",Himalaya Mountains -- Juvenile fiction,"The Cliff Climbers A Sequel to ""The Plant Hunters""",https://www.gutenberg.org/ebooks/21239.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/21239.txt.utf-8', 'path': '21239.txt', 'checksum': '15e5db1ee6db13bdb79d0469200074ab', 'status': 'downloaded'}]"
"Simmonds, P. L. (Peter Lund), 1814-1897",Text,,Public domain in the USA.,"Produced by Olaf Voss, Stephen Schulze and the Online Distributed Proofreading Team.",43 downloads in the last 30 days.,15191,,English,SB: Agriculture: Plant culture,,,"Feb 27, 2005","Botany, Economic","The Commercial Products of the Vegetable Kingdom Considered in Their Various Uses to Man and in Their Relation to the Arts and Manufactures; Forming a Practical Treatise & Handbook of Reference for the Colonist, Manufacturer, Merchant, and Consumer, on the Cultivation, Preparation for Shipment, and Commercial Value, &c. of the Various Substances Obtained From Trees and Plants, Entering into the Husbandry of Tropical and Sub-tropical Regions, &c.",https://www.gutenberg.org/ebooks/15191.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/15191.txt.utf-8', 'path': '15191.txt', 'checksum': '9d7189840e91db40665017bc7e4bdcfe', 'status': 'downloaded'}]"
"Holdsworth, J. H.",Text,,Public domain in the USA.,Produced by Chuck Greif and the Online Distributed Proofreading Team at http: //www.pgdp.net,3 downloads in the last 30 days.,33473,,English,"DC: History: General and Eastern Hemisphere: France, Andorra, Monaco",,,"Aug 20, 2010",Hydrotherapy -- France,Memoranda on Tours and Touraine Including remarks on the climate with a sketch of the Botany And Geology of the Province also on the Wines and Mineral Waters of France,https://www.gutenberg.org/ebooks/33473.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/33473.txt.utf-8', 'path': '33473.txt', 'checksum': 'c5b3090da0fc33fd73067da52763b7fc', 'status': 'downloaded'}]"
"Hanbury, Daniel, 1825-1875",Text,,Public domain in the USA.,Peter Becker and the Online Distributed Proofreading Team at https: //www.pgdp.net,43 downloads in the last 30 days.,67691,,English,RS: Medicine: Pharmacy and materia medica,a11001787,"en: Macmillan and Co.,1879.","Mar 23, 2022","Materia medica, Vegetable -- Great Britain","Pharmacographia A history of the principal drugs of vegetable origin, met with in Great Britain and British India",https://www.gutenberg.org/ebooks/67691.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/67691.txt.utf-8', 'path': '67691.txt', 'checksum': '980391eb6fc086ab4165317c3c535e86', 'status': 'downloaded'}]"
"Reid, Mayne, 1818-1883",Text,,Public domain in the USA.,Timo Ervasti and Tapio Riikonen,4 downloads in the last 30 days.,63381,,Finnish,PZ: Language and Literatures: Juvenile belles lettres,,,"Oct 5, 2020",Himalaya Mountains -- Juvenile fiction,Saarroksissa Himalajalla: Saksalaisten veljesten seikkailuja,https://www.gutenberg.org/ebooks/63381.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/63381.txt.utf-8', 'path': '63381.txt', 'checksum': '43aaf795035d2b5fe19ff2b2ce36d9c1', 'status': 'downloaded'}]"
"Forster, Georg, 1754-1794",Text,,Public domain in the USA.,Produced by Omaio Systems,7 downloads in the last 30 days.,34914,,Latin,QK: Science: Botany,,,"Jan 11, 2011","Botany, Economic -- Oceania",De Plantis Esculentis Insularum Oceani Australis Commentatio Botanica,https://www.gutenberg.org/ebooks/34914.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/34914.txt.utf-8', 'path': '34914.txt', 'checksum': '0db8fb93c142c6f58420c07893dfc868', 'status': 'downloaded'}]"
